lemma,pos,gender,animacy,non-infl,der:s,r:concr,t:org,count,t:hum,r:abstr,t:physiol,der:a,dt:degr:max:magn,t:degr:max,r:rel,dt:abstr,dt:ment,pt:aggr,pt:part,sc:hum,t:time:month,der:comp,dt:hum:etn,dt:topon,t:topon,t:hum:etn,t:tool:transp,dt:tool,dt:tool:transp,t:text,t:space,top:stripe,t:tool:device,dt:tool:device,dt:space,d:nag,dt:hum,ev:posit,r:qual,t:humq,der:s0,der:v,t:speech,t:tool:device:machine,ev:neg,aspect,transitivity,t:armpos,t:stuff,dt:org,t:reservoir,t:tool,top:contain,dt:humq,t:prof,pc:org,pt:set,pc:doc,ev,d:fem,t:animal:fish,t:doc,r:propn,t:persn,der:subst,dt:stuff,t:jewel,pc:constr,sc:letter,t:physq:color,t:book,sc:text,t:media,sc:org,pc:hum,pt:addit,t:access,t:thing,t:like,t:constr,t:hum:supernat,pc:tool:device,sc:tool:device,t:ment,t:poss,ca:noncaus,t:workmus,t:form,top:arc,sc:tool:weapon,pc:animal,pt:partb:inner,top:tube,hi:class,dt:hum:supernat,sc:space,t:action,t:astr,t:move,sc:workart,t:sport,pc:space,pc:stuff,pt:element,pc:constr:build,t:room,t:food,t:hum:kin,pt:partb,t:animal,d:dim,sc:thing,pc:tool:transp,top:horiz,t:tool:dish,t:living,dt:art,top:rod,top:gutter,top:jut,t:unit,t:group,qc:money,pc:reservoir,t:money:banknote,t:constr:build,t:tool:mus,t:constr:hut,d:fil,dt:game,pt:whole,top:post,d:root,dt:move,t:famn,pc:partb,d:neg,t:disease,t:psych,d:carit,dt:manif:emot,dt:speech,sc:tool:cloth,t:liq,dt:time:dur,t:size:max,der:s:deverb,ca:caus,d:pref,t:psych:emot,dt:be:disapp,dt:color,t:quant:max,dt:sound,dt:disease,dt:text,t:impact,t:behav,d:bon,d:benefact,t:light,d:semelf,dt:light,t:physq:light,d:super,t:dist:min,dt:dist:min,t:dist,top:disk,t:tool:cloth,t:workcin,dt:inter,pt:aggr:aggrpl,sc:tool,t:tool:shell,r:poss,t:inter,der:adv,t:appearance,pt:class,dt:physiol,d:compar,dt:size:max,pc:x,sc:x,sc:plant,pt:additb,sc:hair,t:hair,dt:part,t:tool:cloth:boot,dt:hum:kin,t:manif:disease,dt:group,pc:move,pt:qtm,dt:partb:inner,dt:propn,t:time,dt:be:exist,t:letter,dt:weather,t:weather,d:impf,t:be:exist,dt:speed:max,t:speed:max,t:tool:furn,t:workart,t:hier,top:dam,sc:money:banknote,pc:room:appart,t:impact:creat,t:dir,dt:dist:max,t:dist:max,der:num,t:quant:abs:times,r:numcoll,t:quant:abs,t:time:period,t:quality,dt:degr:max,top:rope,dt:quality,t:ver,top:slope,t:place,t:fam,t:param,dt:psych:emot,dt:time,dt:time:season,t:time:season,r:spec,pc:plant,pc:day,t:time:dur:max,t:time:dur,t:perc,t:be:disapp,t:impact:destr,t:time:age,der:aprt,d:potent,t:plant,t:tablesetting,dt:food,t:humq:char,sc:fruit,t:fruit,hi:sort,t:cardgame,t:game,t:tool:weapon,t:loc,t:put,t:taste,dt:taste,t:physq:taste,t:physst,dt:place,d:habit,d:masc,qc:stuff,top:form,t:be:appear,t:size,t:sound,r:mod,t:mod,t:changest,qc:hair,t:psych:volit,dt:general,dt:poss,top:vertical,pc:tool:cloth,t:time:week,dt:time:week,t:ord,r:ord,der:anum,dt:ord,dt:physq,dt:full,dt:physq:form,t:time:dur:min,d:actual,dt:qual,t:general,dt:word,t:move:body,der:abbr,top:hill,r:pers,der:v:part,aux:caus,t:physq:form,r:phras,dt:action,sc:space:astr,dt:persn,t:sign,t:physq,pc:text,t:word,t:tool:model,top:spher,t:physhum,top:pit,dt:time:period,sc:constr:build,t:physq:temper,dt:physq:temper,t:degr:max:magn,pc:form:geom,top:surface,t:pattern,t:tool:instr,t:nick,dt:partb,dt:thing,pt:aggr:aggr_pl,r:dem,t:spec,sc:money,t:tool:device:measur:metr,t:freq,t:numcoll,t:ciph,dt:constr,t:social,t:time:age:abs,t:size:abs,ev:nonev,dt:money,t:money,t:price,dt:param,dt:unit,t:degr,qc:abstr,dt:doc,dt:time:dur:max,t:modal,dt:qtt,t:quant,t:contact,pc:money,t:workdram,dt:workdram,pt:constit,pt:residpart,dt:plant,sc:qtm,top:hole,t:degr:min,t:temper,dt:impact,pt:partb:organ,d:atten,dt:physq:color,d:dimb,top:line,sc:room,ca:impact,der:pref,dt:speed:min,t:smell,der:apro,pc:tool,pt:ind,sc:animal,t:sound:asp,t:color,dt:set,dt:changest,dt:perc,t:toy,t:pers,pt:overpart,dt:quant:max,sc:word,t:tool:device:measur,dt:tool:instr,sc:tool:furn,t:space:inner,pc:data,sc:constr,t:manif:emot,t:spring,der:shift,pt:phase,pc:tool:cloth:boot,pc:workcin,dt:workart,t:neg,r:indet,dt:stone,t:compos,t:stone,pc:room,dt:room,top:niche,dt:workmus,pt:part:addit,qc:space,ca:0,t:form:geom,dt:form,sc:tool:dish,sc:partb,pc:tool:instr,sc:workcin,sc:workdram,t:asp:weather,dt:asp:weather,pc:tool:weapon,sc:sign,top:mineshaft,top:ring,dt:interpretation,t:abstr,dt:animal,dt:contact,pc:workart,pc:workdram,pc:workmus,aux:phase,top:cap,t:size:min,dt:size:min,t:loc:body,dt:dist,top:circle,pc:tool:dish,dt:famn,sc:aggr,sc:stuff,t:tool:device:measur:optic,t:tool:device:light,t:physq:weight,dt:physq:weight,t:speed,pc:part,sc:hum:supernat,sc:part,sc:seat,t:social:emot,dt:time:month,sc:food,t:quant:min,t:time:age:min,t:asp,t:asp:move,pc:time,t:time:moment,t:speed:min,t:card,dt:jewel,dt:tool:model,t:aesth,dt:money:banknote,dt:temper,dt:neg,der:advpro,dt:dir,der:pr,dt:tool:furn,dt:be:appear,sc:hum:etn,pc:pc:x,dt:hier,d:impot,dt:qtt:min,pc:partb:organ,r:neg,dt:degr:min,dt:speed,dt:quant,t:qual,d:modal,t:interpretation,dt:psych,dt:physq:light,der:spro,dt:ciph,pc:book,sc:tool:transp,dt:spot,t:plot,t:tool:bedding,r:card:pauc,r:card,dt:like,pt:spot,dt:tool:weapon,pc:line,dt:numcoll,qc:aggr,qc:thing,qc:aggr:aggrpl,top:cover,dt:social,r:ref,t:dstrib,ca:bgr,t:content,t:share,t:linen,pc:constr:hut,qc:food,dt:sign,qc:liq,t:time:age:max,dt:behav,dt:impact:creat,t:time:dur:abs,dt:impact:destr,pt:spotb,pc:game,top:lattice,t:tool:light,sc:hum:kin,t:food:fodder,pc:tool:furn,t:manif,pc:word,dt:degr,dt:sound:manner,dt:time:age,pc:thing,t:time:term,qc:text,pc:tool:mus,pt:base,pc:sound,sc:tool:card,dt:constr:build,qc:hum,pc:tool:device:machine,top:cylinder,t:physiol:painful,top:corner,t:supporttext,t:level,qc:fruit,qc:plant,pc:cell2,dt:form:geom,t:plant:bush,t:race,pc:tool:device:measur,dt:element,pc:fruit,t:cell2
масштаб,S,m,inan,,,,,13018,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
помчаться,V,,,,,,,4621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pf,intr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
грант,S,m,inan,,,,,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
книжный,A,,,,1.0,,,11134,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Присяжный,S,m,anim,,,,,2631,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
помещать,V,,,,1.0,,,4226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ipf,ditran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ролик,S,m,inan,,1.0,1.0,,1988,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
функциональный,A,,,,1.0,,,3727,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
дорожка,S,f,inan,,1.0,1.0,,12316,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
беда,S,f,inan,,,,,33152,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
